Global Land and Ocean July - June Temperature Anomalies,
Units: Degrees Celsius,
Base Period: 1901-2000,
Missing: -999,
Year,Anomaly
1901,-0.06
1902,-0.22
1903,-0.24
1904,-0.45
1905,-0.35
1906,-0.17
1907,-0.29
1908,-0.36
1909,-0.46
1910,-0.37
1911,-0.48
1912,-0.26
1913,-0.41
1914,-0.21
1915,-0.09
1916,-0.2
1917,-0.47
1918,-0.34
1919,-0.19
1920,-0.27
1921,-0.24
1922,-0.2
1923,-0.27
1924,-0.17
1925,-0.29
1926,-0.07
1927,-0.19
1928,-0.15
1929,-0.26
1930,-0.21
1931,-0.07
1932,-0.05
1933,-0.21
1934,-0.21
1935,-0.11
1936,-0.16
1937,-0.05
1938,0.05
1939,-0.03
1940,0.11
1941,0.2
1942,0.18
1943,0.05
1944,0.2
1945,0.18
1946,0.08
1947,-0.03
1948,-0.04
1949,-0.06
1950,-0.1
1951,-0.13
1952,0.1
1953,0.1
1954,-0.01
1955,-0.08
1956,-0.16
1957,-0.08
1958,0.14
1959,0.07
1960,0
1961,0.1
1962,0.03
1963,0.04
1964,0
1965,-0.15
1966,-0.03
1967,0
1968,-0.03
1969,-0.01
1970,0.13
1971,-0.03
1972,-0.03
1973,0.2
1974,0.01
1975,0.03
1976,-0.06
1977,0.12
1978,0.15
1979,0.11
1980,0.33
1981,0.32
1982,0.23
1983,0.3
1984,0.28
1985,0.17
1986,0.22
1987,0.21
1988,0.42
1989,0.31
1990,0.42
1991,0.43
1992,0.36
1993,0.22
1994,0.24
1995,0.44
1996,0.41
1997,0.39
1998,0.64
1999,0.49
2000,0.44
2001,0.45
2002,0.63
2003,0.59
2004,0.62
2005,0.61
2006,0.67
2007,0.71
2008,0.54
2009,0.6
2010,0.77
2011,0.63
2012,0.64
2013,0.68
2014,0.74
2015,0.82
2016,1.06
2017,0.96
2018,0.87
2019,0.92
2020,1.04
2021,0.87
2022,0.92
2023,0.95
